Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Videos,Imágenes
@conagua_mx,Conagua,"Jun 23, 2024 · 2:31 PM UTC",hoy prevalecerán lluvias torrenciales en nuevoleón sanluispotosí tamaulipas y veracruz más información en,11,3,0,1,https://twitter.com/conagua_mx/status/1804885092281589971#m,,['https://pbs.twimg.com/media/GQw9bWVXMAAm1gp.jpg']
@conagua_mx,Conagua,"Jun 23, 2024 · 3:15 AM UTC",se pronostican lluvias torrenciales en tamaulipas y veracruz e intensas en ocho entidades más más información en,45,11,0,0,https://twitter.com/conagua_mx/status/1804714838263754983#m,,['https://pbs.twimg.com/media/GQuilQ3WIAAE8sO.jpg']
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 22, 2024 · 10:03 PM UTC",debido a las lluvias provocadas por la bajapresión en el golfodeméxico la conagua continúa con los operativos de bombeo de agua en zonas inundadas del municipio de cd madero en tamaulipas y la población de el higo en veracruz mediante su brigada piae,23,13,4,0,https://twitter.com/GermanMSantoyo/status/1804636266069123400#m,,['https://pbs.twimg.com/media/GQtbHwyWsAARo62.jpg']
@conagua_mx,Conagua,"Jun 22, 2024 · 2:34 PM UTC",hoy se pronostican lluvias torrenciales en el sur de tamaulipas y el norte de veracruz más información en,41,8,0,0,https://twitter.com/conagua_mx/status/1804523443301286168#m,,['https://pbs.twimg.com/media/GQr0gl5XkAAwUge.jpg']
@conagua_mx,Conagua,"Jun 22, 2024 · 1:45 AM UTC",se pronostican lluvias torrenciales para oaxaca puebla y veracruz más información en,32,7,1,0,https://twitter.com/conagua_mx/status/1804329959155958068#m,,['https://pbs.twimg.com/media/GQpEh-VakAA7os1.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 9:44 PM UTC",comunicado por temporal de lluvias y nueva bajapresión en el golfodeméxico se emite llamado a extremar medidas de prevención más información en,13,6,0,0,https://twitter.com/conagua_mx/status/1804269219258765732#m,,['https://pbs.twimg.com/media/GQoNLy8XYAAyfCm.jpg']
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:05 PM UTC",luego de las lluvias torrenciales registradas en campeche se apoya a la población de las zonas bajas inundadas además se bombea agua sobre la autopista champotóncampeche en el cruce del arroyo siho,10,3,1,0,https://twitter.com/ConaguaCampeche/status/1804183798298361917#m,,['https://pbs.twimg.com/media/GQm_mpPX0AIf-bc.jpg']
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 2:58 PM UTC",un canal de bajapresión en la sierra madre occidental y centro de provocará lluvias torrenciales en gro oax pue y ver intensas en camp tamps chis col hgo jal mich qroo slp tab y yuc muy fuertes en edomex gto mor nay nl qro y tlax,59,25,1,2,https://twitter.com/GermanMSantoyo/status/1804166978799563137#m,,['https://pbs.twimg.com/media/GQmvCSjXYAEASjW.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 2:07 PM UTC",se prevén lluvias puntuales torrenciales en guerrero oaxaca puebla y veracruz en las próximas horas más información en,22,5,0,1,https://twitter.com/conagua_mx/status/1804154097269887474#m,,['https://pbs.twimg.com/media/GQmkl1WWIAA63nl.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las h se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,160,30,1,2,https://twitter.com/conagua_mx/status/1803980948914012667#m,['https://video.twimg.com/ext_tw_video/1803980909273624578/pu/vid/avc1/480x848/e_xZl1cmjeVFRlW-.mp4?tag=12'],
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",además se prevén lluvias intensas en durango guanajuato hidalgo nayarit querétaro y zacatecas muy fuertes en aguascalientes campeche chihuahua colima guerrero jalisco michoacán quintana roo y sinaloa así como fuertes en yucatán,12,5,1,0,https://twitter.com/GermanMSantoyo/status/1803964012696043834#m,,
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",aunque alberto ya se disipó es preciso no bajar la guardia porque sus remanentes siguen provocando lluvias considerables el smnmx informa que durante esta noche y madrugada habrá lluvias torrenciales en chiapas coahuila nl oax pue slp tamaulipas y veracruz,121,25,3,1,https://twitter.com/GermanMSantoyo/status/1803964010968015285#m,,['https://pbs.twimg.com/media/GQj3tMsXUAAT5E_.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 1:16 AM UTC",se pronostican lluvias torrenciales para coahuila nuevoleón oaxaca puebla sanluispotosí tamaulipas y veracruz más información en,20,6,0,0,https://twitter.com/conagua_mx/status/1803960266834743694#m,,['https://pbs.twimg.com/media/GQj0SajakAY6SZ7.jpg']
@conagua_mx,Conagua,"Jun 21, 2024 · 1:15 AM UTC",como medida preventiva ante las lluvias que genera la bajapresión remanente de alberto a las hrs se incrementó la extracción en la presa la boca pasando de ms a ms por vertedor controlado actualmente tiene un de llenado con ingresos de ms,22,3,1,0,https://twitter.com/conagua_mx/status/1803959774230515780#m,,
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las horas se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,50,9,1,0,https://twitter.com/conagua_mx/status/1803921797953524066#m,,['https://pbs.twimg.com/media/GQjRS9takAEOzbD.jpg']
@conagua_mx,Conagua,"Jun 20, 2024 · 10:02 PM UTC",avisometrorológico alberto ahora bajapresión remanente genera lluvias torrenciales en siete entidades más información en,16,4,1,0,https://twitter.com/conagua_mx/status/1803911387460018625#m,,['https://pbs.twimg.com/media/GQjH139XEAA24lk.jpg']
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",con personal y equipo especializado el organismo de cuenca aguas del valledeméxico de la conaguamx concluyó de forma anticipada a lo inicialmente previsto las reparaciones de la fuga presentada en la planta de bombeo número del sistema cutzamala,62,25,3,1,https://twitter.com/conagua_mx/status/1803807439608758281#m,,['https://pbs.twimg.com/media/GQhpPM9WMAI63Op.jpg']
@conagua_mx,Conagua,"Jun 20, 2024 · 1:32 PM UTC",comunicado antes de lo programado se concluye reparación de fuga en la planta de bombeo del sistema cutzamala más información en,65,24,5,1,https://twitter.com/conagua_mx/status/1803782864611238096#m,,['https://pbs.twimg.com/media/GQhS9NIWEAA8q2c.jpg']
@conagua_mx,Conagua,"Jun 20, 2024 · 12:04 PM UTC",avisometeorológico alberto se ubica muy próximo a las costas de tamaulipas y veracruz y ocasiona lluvias en gran parte de méxico más información en,26,6,0,0,https://twitter.com/conagua_mx/status/1803760724994351602#m,,['https://pbs.twimg.com/media/GQg-0jHWcAAWJRU.jpg']
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 1:22 AM UTC",su amplia circulación produce lluvias extraordinarias en nuevo león tamaulipas san luis potosí veracruz hidalgo y puebla lluvias torrenciales en coahuila lluvias intensas en zacatecas querétaro oaxaca chiapas tabasco campeche y quintana roo,6,4,1,0,https://twitter.com/GermanMSantoyo/status/1803599163944247541#m,,
